#Format: frequency (Hz)  ratio (dB)  phase (deg)
      3129.7       -207.1       126.68
      3158.6      -207.06       128.74
      3187.9      -207.03       130.85
      3217.4         -207       132.99
      3247.2      -206.97       135.18
      3277.3      -206.95       137.42
      3307.7      -206.92       139.71
      3338.3       -206.9       142.05
      3369.2      -206.88       144.44
      3400.4      -206.87       146.89
      3431.9      -206.85       149.39
      3463.7      -206.83       151.95
      3495.8      -206.81       154.57
      3528.2       -206.8       157.25
      3560.8      -206.78       159.99
      3593.8      -206.76       162.79
      3627.1      -206.74       165.64
      3660.7      -206.71       168.55
      3694.6      -206.68       171.51
      3728.8      -206.65       174.53
      3763.4      -206.62        177.6
      3798.2      -206.58      -179.29
      3833.4      -206.54      -176.13
      3868.9       -206.5      -172.93
      3904.7      -206.45      -169.69
      3940.9      -206.39      -166.42
      3977.4      -206.33      -163.11
      4014.2      -206.27      -159.77
      4051.4      -206.21       -156.4
      4088.9      -206.14      -153.01
      4126.8      -206.08      -149.59
        4165      -206.01      -146.15
      4203.6      -205.94      -142.68
      4242.6      -205.86      -139.18
